"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos"
"DMH","29",2020-07-15,"Contratistas","2520","29","96","2","2","4","3","24","8","53","4","0","0",4
"DMH","29",2020-07-16,"Propios","668","2","17","0","0","0","0","0","0","0","0","0","0",0
"DMH","29",2020-07-16,"Contratistas","2520","21","95","0","0","5","2","23","12","33","0","0","0",0
"DMH","29",2020-07-17,"Propios","668","1","18","0","1","1","1","12","1","1","0","1","0",1
"DMH","29",2020-07-17,"Contratistas","2520","23","98","3","2","11","6","4","2","37","4","3","1",5
"DMH","29",2020-07-18,"Propios","668","2","18","0","0","0","0","28","0","29","0","0","0",0
"DMH","29",2020-07-18,"Contratistas","2520","24","100","1","3","6","0","3","1","19","1","3","1",4
"DMH","29",2020-07-19,"Propios","668","2","18","0","0","0","0","29","6","74","1","0","0",0
"DMH","29",2020-07-19,"Contratistas","2520","24","103","1","3","2","1","1","0","14","0","1","2",4
"DRT","29",2020-07-13,"Propios","1218","12","43","1","0",NA,NA,"7","0","0","0","0","0",1
"DRT","29",2020-07-13,"Contratistas","4710","14","75","2","1",NA,NA,"3","0","0","0","0","0",3
"DRT","29",2020-07-14,"Propios","1218","8","44","1","0","3","1","7","0","0","0","0","0",1
"DRT","29",2020-07-14,"Contratistas","4710","16","58","7","0","70","7","12","0","0","0","0","0",7
"DRT","29",2020-07-15,"Propios","1218","9","43","3","0","5","3","7","0","0","0","0","0",3
"DRT","29",2020-07-15,"Contratistas","4710","14","94","3","1","8","4","6","2","0","0","0","0",4
"DRT","29",2020-07-16,"Propios","1218","8","41","1","0","1","0","11","0","0","0","0","0",1
"DRT","29",2020-07-16,"Contratistas","4710","10","52","0","0","10","1","6","0","0","0","0","0",0
"DRT","29",2020-07-17,"Propios","1218","7","38","1","0","3","1","7","2","0","0","0","0",1
"DRT","29",2020-07-17,"Contratistas","4710","8","51","2","1","10","3","12","4","0","0","0","0",3
"DRT","29",2020-07-18,"Propios","1218","8","37","2","0","6","2","8","2","0","0","0","0",2
"DRT","29",2020-07-18,"Contratistas","4710","10","52","4","1","6","5","0","0","0","0","0","0",5
"DRT","29",2020-07-19,"Propios","1218","10","33","0","0","1","0","9","3","0","0","0","0",0
"DRT","29",2020-07-19,"Contratistas","4710","11","46","1","1","5","2","1","0","0","0","0","0",2
"DVEN","29",2020-07-13,"Propios","852","11","6","0","0","1","0","15","0","11","0","0","0",0
"DVEN","29",2020-07-13,"Contratistas","1085","3","15","1","0","1","1","127","0","5","0","0","0",1
"DVEN","29",2020-07-14,"Propios","852","12","7","1","0","1","1","40","0","16","0","0","0",1
"DVEN","29",2020-07-14,"Contratistas","1085","3","15","0","0","0","0","95","0","22","2","2","0",0
"DVEN","29",2020-07-15,"Propios","852","12","7","1","0","1","1","41","0","2","0","0","0",1
"DVEN","29",2020-07-15,"Contratistas","1085","3","15","0","0","0","0","78","0","1","0","0","0",0
"DVEN","29",2020-07-16,"Propios","852","12","8","1","0","2","1","1","0","0","0","0","0",1
"DVEN","29",2020-07-16,"Contratistas","1085","3","15","0","0","1","0","1","0","1","0","0","0",0
"DVEN","29",2020-07-17,"Propios","852","9","9","1","0","0","0","21","0","10","0","0","0",1
"DVEN","29",2020-07-17,"Contratistas","1085","3","15","0","0","1","0","60","0","5","0","0","0",0
"DVEN","29",2020-07-18,"Propios","852","9","9","0","0","0","0","0","0","0","0","0","0",0
"DVEN","29",2020-07-18,"Contratistas","1085","3","15","0","0","0","0","0","0","0","0","0","0",0
"DVEN","29",2020-07-19,"Propios","852","9","9","0","0","0","0","0","0","1","0","0","0",0
"DVEN","29",2020-07-19,"Contratistas","1085","3","15","0","0","0","0","0","0","0","0","0","0",0
"VP","29",2020-07-13,"Propios","857","5","10","0","0",NA,NA,"0",NA,"0",NA,NA,NA,0
"VP","29",2020-07-13,"Contratistas","3200","102","236","2","3",NA,"5","0",NA,"0",NA,NA,NA,5
"VP","29",2020-07-14,"Propios","857","5","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,0
"VP","29",2020-07-14,"Contratistas","3200","96","200","2","1",NA,"3","19","0","0","0",NA,NA,3
"VP","29",2020-07-15,"Propios","857","5","9","0","0",NA,NA,"0","0","26","0",NA,NA,0
"VP","29",2020-07-15,"Contratistas","3200","96","208","7","3",NA,"10","1","1","720","5",NA,NA,10
"VP","29",2020-07-16,"Propios","857","5","9","0","0",NA,NA,"0","0","0","0",NA,NA,0
"VP","29",2020-07-16,"Contratistas","3200","91","207","1","1",NA,"2","2","0","0","0",NA,NA,2
